Source	Target	Label
u74554	u74550	COLLABORATES
u78499	u78496	COLLABORATES
u87147	u87145	COLLABORATES
u88130	u88128	COLLABORATES
u73170	u73169	COLLABORATES
u726	u723	COLLABORATES
u97608	u97559	COLLABORATES
u97640	u97913	COLLABORATES
u227	u225	COLLABORATES
u85262	u85260	COLLABORATES
u479	u478	COLLABORATES
u74925	u74920	COLLABORATES
u60750	u60749	COLLABORATES
u99724	u98151	COLLABORATES
u78702	u98695	COLLABORATES
u97609	u143829	COLLABORATES
u75239	u81941	COLLABORATES
u236	u226	COLLABORATES
u53613	u53612	COLLABORATES
u98417	u98151	COLLABORATES
u42	u41	COLLABORATES
u97611	u143828	COLLABORATES
u102	u88323	COLLABORATES
u97610	u98125	COLLABORATES
u97672	u97913	COLLABORATES
u88284	u88281	COLLABORATES
u88978	u88977	COLLABORATES
u46	u45	COLLABORATES
u98203	u97775	COLLABORATES
u97642	u98294	COLLABORATES
u97674	u97912	COLLABORATES
u99165	u97671	COLLABORATES
u98203	u98726	COLLABORATES
u97555	u98358	COLLABORATES
u46060	u46059	COLLABORATES
u306	u303	COLLABORATES
u99165	u97641	COLLABORATES
u50842	u50841	COLLABORATES
u97638	u97553	COLLABORATES
u99165	u97556	COLLABORATES
u97553	u98726	COLLABORATES
u72807	u72803	COLLABORATES
u98417	u59405	COLLABORATES
u98263	u98125	COLLABORATES
u72807	u72806	COLLABORATES
u97609	u97556	COLLABORATES
u19687	u19686	COLLABORATES
u97968	u108601	COLLABORATES
u97611	u97868	COLLABORATES
u100410	u97776	COLLABORATES
u98203	u108601	COLLABORATES
u88127	u88126	COLLABORATES
u101982	u97776	COLLABORATES
u97642	u97612	COLLABORATES
u331	u330	COLLABORATES
u88285	u88284	COLLABORATES
u84580	u84579	COLLABORATES
u91672	u91671	COLLABORATES
u97612	u97610	COLLABORATES
u97640	u97836	COLLABORATES
u97776	u101981	COLLABORATES
u97557	u108601	COLLABORATES
u85265	u85261	COLLABORATES
u230	u225	COLLABORATES
u78503	u78932	COLLABORATES
u97775	u101210	COLLABORATES
u97557	u97638	COLLABORATES
u78702	u98725	COLLABORATES
u79909	u79906	COLLABORATES
u98006	u98263	COLLABORATES
u97673	u98151	COLLABORATES
u720	u718	COLLABORATES
u97612	u97672	COLLABORATES
u97776	u143828	COLLABORATES
u100410	u97557	COLLABORATES
u85317	u85315	COLLABORATES
u867	u866	COLLABORATES
u97611	u98151	COLLABORATES
u62054	u62053	COLLABORATES
u98726	u143829	COLLABORATES
u98695	u98152	COLLABORATES
u97610	u143828	COLLABORATES
u27887	u27886	COLLABORATES
u78702	u97912	COLLABORATES
u97673	u98114	COLLABORATES
u137	u135	COLLABORATES
u74922	u74921	COLLABORATES
u87775	u87774	COLLABORATES
u42978	u21151	COLLABORATES
u97610	u97776	COLLABORATES
u77596	u79137	COLLABORATES
u1559	u1558	COLLABORATES
u34524	u34523	COLLABORATES
u15984	u74491	COLLABORATES
u1034	u1033	COLLABORATES
u74924	u74922	COLLABORATES
u97868	u97556	COLLABORATES
u99382	u98263	COLLABORATES
u231	u226	COLLABORATES
u98695	u97913	COLLABORATES
u1560	u1557	COLLABORATES
u80273	u80270	COLLABORATES
u97868	u97641	COLLABORATES
u94348	u94342	COLLABORATES
u97913	u98358	COLLABORATES
u99382	u101210	COLLABORATES
u97555	u97913	COLLABORATES
u97674	u59405	COLLABORATES
u80925	u80924	COLLABORATES
u85314	u85313	COLLABORATES
u91941	u91938	COLLABORATES
u98114	u99724	COLLABORATES
u74404	u74403	COLLABORATES
u1165	u1163	COLLABORATES
u97552	u98358	COLLABORATES
u97674	u98125	COLLABORATES
u97776	u97672	COLLABORATES
u99382	u97868	COLLABORATES
u1126	u1300	COLLABORATES
u97673	u98263	COLLABORATES
u98265	u97638	COLLABORATES
u98007	u97913	COLLABORATES
u97561	u98125	COLLABORATES
u94350	u94347	COLLABORATES
u933	u932	COLLABORATES
u101210	u97638	COLLABORATES
u98203	u97553	COLLABORATES
u231	u230	COLLABORATES
u71824	u71823	COLLABORATES
u97673	u97561	COLLABORATES
u101210	u97913	COLLABORATES
u51241	u51240	COLLABORATES
u97638	u98114	COLLABORATES
u34528	u34525	COLLABORATES
u97611	u97608	COLLABORATES
u99165	u97558	COLLABORATES
u97673	u97968	COLLABORATES
u97868	u97562	COLLABORATES
u98125	u143828	COLLABORATES
u1438	u1437	COLLABORATES
u88284	u88283	COLLABORATES
u97610	u98203	COLLABORATES
u749	u778	COLLABORATES
u98007	u104104	COLLABORATES
u98006	u98265	COLLABORATES
u97608	u98726	COLLABORATES
u97673	u97610	COLLABORATES
u769	u766	COLLABORATES
u97672	u98152	COLLABORATES
u99724	u97611	COLLABORATES
u97641	u97912	COLLABORATES
u97063	u97062	COLLABORATES
u897	u896	COLLABORATES
u98114	u78702	COLLABORATES
u1151	u1150	COLLABORATES
u91090	u91089	COLLABORATES
u98265	u97775	COLLABORATES
u97671	u97609	COLLABORATES
u98203	u97912	COLLABORATES
u101210	u98006	COLLABORATES
u97836	u97612	COLLABORATES
u98358	u98203	COLLABORATES
u88128	u88127	COLLABORATES
u814	u813	COLLABORATES
u1383	u1382	COLLABORATES
u97552	u97774	COLLABORATES
u97556	u99724	COLLABORATES
u88977	u88976	COLLABORATES
u97775	u97912	COLLABORATES
u98152	u59405	COLLABORATES
u98725	u108601	COLLABORATES
u97554	u98358	COLLABORATES
u81153	u81154	COLLABORATES
u97561	u101981	COLLABORATES
u35571	u35570	COLLABORATES
u98417	u98263	COLLABORATES
u61290	u61289	COLLABORATES
u908	u907	COLLABORATES
u98203	u97968	COLLABORATES
u97562	u98006	COLLABORATES
u1286	u418	COLLABORATES
u98152	u97552	COLLABORATES
u87148	u87145	COLLABORATES
u99724	u97913	COLLABORATES
u83808	u83807	COLLABORATES
u95287	u95285	COLLABORATES
u27888	u27886	COLLABORATES
u1256	u1255	COLLABORATES
u98417	u97775	COLLABORATES
u98265	u98417	COLLABORATES
u98263	u97556	COLLABORATES
u97610	u78702	COLLABORATES
u104104	u97671	COLLABORATES
u97674	u98725	COLLABORATES
u97642	u99724	COLLABORATES
u97557	u97639	COLLABORATES
u77964	u77963	COLLABORATES
u81816	u81815	COLLABORATES
u98007	u99724	COLLABORATES
u97774	u97913	COLLABORATES
u97552	u143829	COLLABORATES
u157	u52498	COLLABORATES
u88115	u88114	COLLABORATES
u98151	u98265	COLLABORATES
u34835	u34485	COLLABORATES
u82913	u82912	COLLABORATES
u100410	u97913	COLLABORATES
u97557	u98152	COLLABORATES
u98006	u98725	COLLABORATES
u83825	u76303	COLLABORATES
u88977	u88972	COLLABORATES
u99382	u99724	COLLABORATES
u98152	u99165	COLLABORATES
u97608	u98695	COLLABORATES
u18	u41780	COLLABORATES
u97640	u97968	COLLABORATES
u97672	u97559	COLLABORATES
u97561	u97560	COLLABORATES
u74923	u74921	COLLABORATES
u98695	u98358	COLLABORATES
u67	u21162	COLLABORATES
u586	u585	COLLABORATES
u101210	u59405	COLLABORATES
u83006	u83004	COLLABORATES
u97836	u97554	COLLABORATES
u94348	u94337	COLLABORATES
u59405	u97775	COLLABORATES
u76927	u76925	COLLABORATES
u233	u227	COLLABORATES
u72897	u72895	COLLABORATES
u98417	u97611	COLLABORATES
u97641	u98263	COLLABORATES
u97563	u97836	COLLABORATES
u97774	u108601	COLLABORATES
u1340	u1339	COLLABORATES
u764	u763	COLLABORATES
u266	u265	COLLABORATES
u98203	u97559	COLLABORATES
u97774	u97672	COLLABORATES
u98151	u108601	COLLABORATES
u74923	u74922	COLLABORATES
u79197	u79196	COLLABORATES
u98695	u98294	COLLABORATES
u97640	u98114	COLLABORATES
u97968	u98114	COLLABORATES
u97674	u99724	COLLABORATES
u93522	u93520	COLLABORATES
u1010	u1009	COLLABORATES
u684	u683	COLLABORATES
u97775	u97608	COLLABORATES
u1586	u1585	COLLABORATES
u94346	u94340	COLLABORATES
u88976	u88974	COLLABORATES
u97557	u97610	COLLABORATES
u22	u21	COLLABORATES
u98114	u97774	COLLABORATES
u153	u152	COLLABORATES
u97608	u97638	COLLABORATES
u99165	u97557	COLLABORATES
u72711	u72709	COLLABORATES
u97557	u98203	COLLABORATES
u448	u447	COLLABORATES
