	Number	lat	long	country
Education University of Hong Kong	1	22.4690426	114.1943533	Hong Kong
Nottingham Trent University	11	52.9581383	-1.1542364	United Kingdom
University Bologna	4	44.4962318	11.354157	Italy
Marquette University	1	43.0382216	-87.9297546	United States
The University of Edinburgh	1	55.9445158	-3.1892413	United Kingdom
University Otago	3	-45.8646835	170.5144227	New Zealand
University Castilla La Mancha	1	38.99404390000001	-3.9204979	Spain
The George Washington University In Washingtondc	1	38.8997145	-77.0485992	United States
Illinois Wesleyan University	1	40.4908892	-88.9906541	United States
Universityersität Der Bundeswehr	1	48.0815617	11.6360739	Germany
University New England	1	43.4582904	-70.3865402	United States
University Estadual Campinas	2	-22.8184393	-47.0647206	Brazil
University Zaragoza	1	41.6420639	-0.9015065	Spain
Fatih University	1	41.0126037	28.961838	Turkey
Penn State University Lehigh Valley	1	40.5591162	-75.4027078	United States
University Newcastle Upon Tyne	1	54.9791871	-1.6146608	United Kingdom
University of Plymouth	3	50.37590609999999	-4.1395777	United Kingdom
University Idaho	2	46.7288124	-117.0126084	United States
University of Cyprus	1	35.1600014	33.37701750000001	Cyprus
University Siegen	1	50.9112595	8.0254525	Germany
Southern Methodist University	5	32.8412178	-96.78451749999999	United States
University of Bern	2	46.9504896	7.438119	Switzerland
Dalhousie University	3	44.63658119999999	-63.59165549999999	Canada
Universityersidade Federal Do Rio De Janeiro	1	-22.9541412	-43.1753638	Brazil
De Paul University	1	41.8780698	-87.6273717	United States
Panteion University of Social And Political Sciences	2	37.9596132	23.7192801	Greece
University Nova Lisboa	1	38.733682	-9.160333	Portugal
Queen Margaret University	1	55.9303061	-3.0739431	United Kingdom
University of Salford	2	53.48458600000001	-2.270755	United Kingdom
University of St Gallen	3	47.4321575	9.3755673	Switzerland
Norwegian University of Science And Technology Ntnu	1	63.41949899999999	10.4020771	Norway
Baldwin Wallace University	3	41.37111650000001	-81.8478088	United States
University Life Sci Lublin	1	51.243671	22.5402384	Poland
University of Seychelles	1	-4.7403938	55.5153753	Seychelles
University of Utrecht	1	52.0901527	5.1226018	Netherlands
State University of New York At New Paltz	2	41.7390054	-74.0851655	United States
University of Rochester	1	43.1305531	-77.6260033	United States
Washington State University	2	46.7319225	-117.1542121	United States
Universityersité Inrs	1			
Universityersität Marburg	2			
University Rouen	1	49.4582886	1.0687691	France
University of Edinburg	1	55.9445158	-3.1892413	United Kingdom
